country,continent,year,lifeExp,pop,gdpPercap
Tunisia,Africa,2007,73.923,10276158,7092.923025
Turkey,Europe,1992,66.146,58179144,5678.348271
Turkey,Europe,1997,68.835,63047647,6601.429915
Turkey,Europe,2002,70.845,67308928,6508.085718
Turkey,Europe,2007,71.777,71158647,8458.276384
Uganda,Africa,1992,48.825,18252190,644.1707969
Uganda,Africa,1997,44.578,21210254,816.559081
Uganda,Africa,2002,47.813,24739869,927.7210018
Uganda,Africa,2007,51.542,29170398,1056.380121
United Kingdom,Europe,1992,76.42,57866349,22705.09254
United Kingdom,Europe,1997,77.218,58808266,26074.53136
United Kingdom,Europe,2002,78.471,59912431,29478.99919
United Kingdom,Europe,2007,79.425,60776238,33203.26128
United States,Americas,1992,76.09,256894189,32003.93224
United States,Americas,1997,76.81,272911760,35767.43303
United States,Americas,2002,77.31,287675526,39097.09955
United States,Americas,2007,78.242,301139947,42951.65309
Uruguay,Americas,1992,72.752,3149262,8137.004775
Uruguay,Americas,1997,74.223,3262838,9230.240708
Uruguay,Americas,2002,75.307,3363085,7727.002004
Uruguay,Americas,2007,76.384,3447496,10611.46299
Venezuela,Americas,1992,71.15,20265563,10733.92631
Venezuela,Americas,1997,72.146,22374398,10165.49518
Venezuela,Americas,2002,72.766,24287670,8605.047831
Venezuela,Americas,2007,73.747,26084662,11415.80569
Vietnam,Asia,1992,67.662,69940728,989.0231487
Vietnam,Asia,1997,70.672,76048996,1385.896769
Vietnam,Asia,2002,73.017,80908147,1764.456677
Vietnam,Asia,2007,74.249,85262356,2441.576404
West Bank and Gaza,Asia,1992,69.718,2104779,6017.654756
West Bank and Gaza,Asia,1997,71.096,2826046,7110.667619
West Bank and Gaza,Asia,2002,72.37,3389578,4515.487575
West Bank and Gaza,Asia,2007,73.422,4018332,3025.349798
Yemen, Rep.,Asia,1992,55.599,13367997,1879.496673
Yemen, Rep.,Asia,1997,58.02,15826497,2117.484526
Yemen, Rep.,Asia,2002,60.308,18701257,2234.820827
Yemen, Rep.,Asia,2007,62.698,22211743,2280.769906
Zambia,Africa,1992,46.1,8381163,1210.884633
Zambia,Africa,1997,40.238,9417789,1071.353818
Zambia,Africa,2002,39.193,10595811,1071.613938
Zambia,Africa,2007,42.384,11746035,1271.211593
Zimbabwe,Africa,1992,60.377,10704340,693.4207856
Zimbabwe,Africa,1997,46.809,11404948,792.4499603
Zimbabwe,Africa,2002,39.989,11926563,672.0386227
Zimbabwe,Africa,2007,43.487,12311143,469.7092981
